city_id,name,country,low_lat_value,low_long_value,high_lat_value,high_long_value,number_restaurants
0,Tuebingen,Germany,48.4505798,8.9644852,48.5937085,9.131081600000002,182
1,Freiburg,Germany,47.9035775,7.6620078,48.0710448,7.930832299999999,572
2,Regensburg,Germany,48.9667457,12.0290745,49.0764158,12.1916077,342
3,Karlsruhe,Germany,48.9404298,8.2774096,49.0912684,8.5416581,683
4,Augsburg,Germany,48.2581444,10.7633614,48.458654,10.959519,670
5,Heidelberg,Germany,49.3517641,8.573178799999999,49.4596927,8.7940495,498
6,Muenchen,Germany,48.0616018,11.360796,48.2482197,11.7228755,2318
7,Stuttgart,Germany,48.6920187,9.0386053,48.86639940000001,9.3158251,1525
8,Nuernberg,Germany,49.3314338,10.983479,49.5407533,11.2825956,1194
9,Mannheim,Germany,49.4095912,8.4141602,49.5904894,8.5899901,820
