,dining_price_range,restaurant_id,dining_price_range_count
0,10–20 €,ChIJ5bNxBdP6mUcRoihNgmDzZl4,25
1,10–20 €,ChIJ8dHXli3lmUcRbSsbGrUNotc,33
2,10–20 €,ChIJYR6MeNP6mUcRX0PfqXYXqks,3
3,10–20 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,28
4,10–20 €,ChIJm7waYdT6mUcRxPFyE982gE0,44
5,1–10 €,ChIJ5bNxBdP6mUcRoihNgmDzZl4,59
6,1–10 €,ChIJ8dHXli3lmUcRbSsbGrUNotc,4
7,1–10 €,ChIJYR6MeNP6mUcRX0PfqXYXqks,59
8,1–10 €,ChIJm7waYdT6mUcRxPFyE982gE0,10
9,20–30 €,ChIJ8dHXli3lmUcRbSsbGrUNotc,12
10,20–30 €,ChIJYR6MeNP6mUcRX0PfqXYXqks,1
11,20–30 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,51
12,20–30 €,ChIJm7waYdT6mUcRxPFyE982gE0,5
13,30–40 €,ChIJ8dHXli3lmUcRbSsbGrUNotc,3
14,30–40 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,14
15,30–40 €,ChIJm7waYdT6mUcRxPFyE982gE0,1
16,40–50 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,2
17,50–60 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,2
18,70–80 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,1
19,80–90 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,1
20,90–100 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,1
